Brand,Sneaker Name,Sale Price,Retail Price,Shoe Size
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,371,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,366,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,367,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,367,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,397,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,368,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,365,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,380,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,400,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,199,220,7
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,366,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,381,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,389,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,400,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,379,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,374,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,399,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,501,220,14.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,372,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,388,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,190,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,369,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,155,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,374,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,369,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,469,220,12.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,383,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,397,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,190,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,400,220,11.5
